@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1,9-22-weka.filters.unsupervised.attribute.Remove-R3-4,6-7'

@attribute accelerationx-mean-300 numeric
@attribute accelerationy-mean-300 numeric
@attribute accelerationy-var-300 numeric
@attribute class {walking,sitting,standing}

@data
-1.931933,-9.787395,0.003118,walking
-1.75,-9.808333,0.007431,walking
-1.686555,-9.9,0.01563,walking
-1.536975,-10.063025,0.042498,walking
-1.137815,-9.936134,0.130207,walking
-0.617647,-9.832773,0.161363,walking
-0.386555,-9.72605,0.095876,walking
-0.275,-9.766667,0.079556,walking
0.083193,-9.778151,0.048598,walking
0.813333,-9.566667,0.051389,walking
1.220168,-9.543697,0.049351,walking
0.739496,-10.006723,1.100291,walking
-0.138655,-10.172269,0.943853,walking
-0.860504,-10.268067,0.861501,walking
-0.955833,-9.8425,0.057444,walking
-1.290756,-9.823529,0.039951,walking
-1.37479,-9.821849,0.022884,walking
-1.485714,-9.889916,0.047629,walking
-1.20084,-9.968067,0.041501,walking
-1.218487,-10.331092,0.258445,walking
-0.966387,-10.37563,0.344868,walking
-1.142857,-10.162185,0.635797,walking
-1.032773,-10.248739,0.90149,walking
-1.043697,-9.866387,1.154668,walking
-0.85042,-9.535294,1.687662,walking
0.042017,-9.07563,0.780835,walking
0.435294,-9.560504,1.266759,walking
0.163025,-10.39916,1.256218,walking
-0.993277,-10.163866,1.811551,walking
-1.739496,-9.969748,1.775892,walking
-1.715833,-9.5475,0.744827,walking
-1,-9.1,0,walking
-1,-9.15,0.0025,walking
-1.033333,-9.2,0.006667,walking
-1.075,-9.25,0.0125,walking
-1.1,-9.32,0.0296,walking
-1.116667,-9.4,0.056667,walking
-1.128571,-9.457143,0.068163,walking
-1.125,-9.5,0.0725,walking
-1.122222,-9.533333,0.073333,walking
-1.12,-9.57,0.0781,walking
-1.118182,-9.609091,0.086281,walking
-1.116667,-9.633333,0.085556,walking
-1.115385,-9.661538,0.088521,walking
-1.121429,-9.685714,0.089796,walking
-1.126667,-9.706667,0.089956,walking
-1.1375,-9.725,0.089375,walking
-1.141176,-9.741176,0.088304,walking
-1.144444,-9.75,0.084722,walking
-1.147368,-9.763158,0.08338,walking
-1.15,-9.77,0.0801,walking
-1.152381,-9.77619,0.077052,walking
-1.15,-9.781818,0.074215,walking
-1.147826,-9.782609,0.071002,walking
-1.145833,-9.7875,0.068594,walking
-1.14,-9.792,0.066336,walking
-1.134615,-9.788462,0.064098,walking
-1.12963,-9.785185,0.062003,walking
-1.121429,-9.785714,0.059796,walking
-1.117241,-9.786207,0.057741,walking
-1.113333,-9.786667,0.055822,walking
-1.109677,-9.787097,0.054027,walking
-1.10625,-9.7875,0.052344,walking
-1.106061,-9.787879,0.050762,walking
-1.105882,-9.791176,0.049628,walking
-1.105714,-9.794286,0.048539,walking
-1.105556,-9.797222,0.047492,walking
-1.108108,-9.8,0.046486,walking
-1.110526,-9.802632,0.045519,walking
-1.112821,-9.805128,0.044589,walking
-1.115,-9.8075,0.043694,walking
-1.117073,-9.809756,0.042832,walking
-1.119048,-9.811905,0.042001,walking
-1.123256,-9.813953,0.041201,walking
-1.129545,-9.815909,0.040429,walking
-1.135556,-9.82,0.040267,walking
-1.141304,-9.823913,0.04008,walking
-1.146809,-9.825532,0.039348,walking
-1.152083,-9.825,0.038542,walking
-1.155102,-9.82449,0.037768,walking
-1.146,-9.82,0.038,walking
-1.141176,-9.817647,0.037532,walking
-1.153846,-9.821154,0.037437,walking
-1.169811,-9.826415,0.03817,walking
-1.185185,-9.82963,0.038011,walking
-1.2,-9.830909,0.037408,walking
-1.210714,-9.828571,0.037041,walking
-1.221053,-9.826316,0.036676,walking
-1.237288,-9.822034,0.035955,walking
-1.243333,-9.821667,0.035364,walking
-1.24918,-9.822951,0.034883,walking
-1.253226,-9.824194,0.034415,walking
-1.255556,-9.825397,0.033958,walking
-1.257813,-9.825,0.033438,walking
-1.26,-9.824615,0.032933,walking
-1.260606,-9.824242,0.032443,walking
-1.261194,-9.823881,0.031967,walking
-1.262319,-9.824638,0.031132,walking
-1.261429,-9.825714,0.030767,walking
-1.260563,-9.826761,0.030411,walking
-1.258333,-9.827778,0.030062,walking
-1.256164,-9.830137,0.030051,walking
-1.252703,-9.832432,0.030029,walking
-1.24026,-9.838961,0.029911,walking
-1.232911,-9.84557,0.030835,walking
-1.220732,-9.854878,0.031988,walking
-1.209412,-9.864706,0.033578,walking
-1.202299,-9.871264,0.034692,walking
-1.192222,-9.881111,0.036421,walking
-1.186022,-9.891398,0.038421,walking
-1.182105,-9.9,0.041053,walking
-1.176531,-9.912245,0.044544,walking
-1.172,-9.921,0.047459,walking
-1.164078,-9.934951,0.052565,walking
-1.159048,-9.945714,0.057529,walking
-1.151852,-9.960185,0.063322,walking
-1.142342,-9.973874,0.068417,walking
-1.136283,-9.983186,0.072018,walking
-1.125,-9.999138,0.079741,walking
-1.116102,-10.011864,0.087825,walking
-1.100826,-10.036364,0.109421,walking
-1.09187,-10.056911,0.133184,walking
-1.087903,-10.068548,0.148769,walking
-1.0848,-10.0808,0.166191,walking
-1.077344,-10.123437,0.238201,walking
-1.071538,-10.154615,0.296786,walking
-1.062406,-10.201504,0.385411,walking
-1.053676,-10.247794,0.471907,walking
-1.048551,-10.273913,0.511493,walking
-1.04539,-10.308511,0.555814,walking
-1.048611,-10.334722,0.57685,walking
-1.056463,-10.348299,0.57447,walking
-1.062416,-10.351007,0.567331,walking
-1.071711,-10.346711,0.557358,walking
-1.081935,-10.333548,0.555649,walking
-1.093671,-10.31519,0.562554,walking
-1.101875,-10.300625,0.572312,walking
-1.106211,-10.292547,0.579199,walking
-1.505714,-10.175714,1.143934,walking
-1.054647,-9.858922,2.237811,walking
-0.967394,-9.85747,2.300416,walking
-0.962924,-9.946301,2.575733,walking
-1.009886,-9.930474,2.172936,walking
-0.993607,-9.951721,1.859333,walking
-1.13221,-9.826787,1.455914,walking
-1.279177,-9.892922,1.567983,walking
-1.531066,-9.827377,1.901365,walking
-1.580327,-9.799592,1.723469,walking
-1.739497,-9.883942,1.658526,walking
-1.647441,-9.718522,1.584157,walking
-1.937134,-9.581922,1.994706,walking
-2.317006,-9.356143,1.820965,walking
-3.009459,-9.509037,1.732241,walking
-3.412633,-9.444876,1.43735,walking
-3.924028,-9.201325,1.235325,walking
-4.394218,-9.00068,1.281428,walking
-4.617391,-8.764793,1.586777,walking
-4.652098,-8.756294,2.083439,walking
-4.129208,-8.278713,2.021082,walking
-4.033613,-9.621008,1.435441,walking
-4.778333,-9.105,4.034475,walking
-5.238655,-8.983193,4.03686,walking
-5.185714,-8.37395,2.252515,walking
-5.035,-8.79,0.3079,walking
-4.913333,-8.634167,0.095749,walking
-4.584034,-8.881513,0.242179,walking
-5.026891,-9.360504,0.319028,walking
-5.352941,-9.413445,0.332088,walking
-5.8325,-8.955833,0.965799,walking
-5.255,-7.845,1.440142,walking
-4.862185,-7.351261,0.737456,walking
-4.910924,-7.778151,2.179355,walking
-6.1,-6.3,0,walking
-5.9,-6.1,0.04,walking
-5.666667,-5.933333,0.082222,walking
-5.45,-5.75,0.1625,walking
-5.26,-5.58,0.2456,walking
-5.1,-5.433333,0.312222,walking
-4.942857,-5.314286,0.352653,walking
-4.7875,-5.225,0.364375,walking
-4.655556,-5.177778,0.341728,walking
-4.55,-5.15,0.3145,walking
-4.472727,-5.136364,0.287769,walking
-4.416667,-5.133333,0.263889,walking
-4.376923,-5.138462,0.243905,walking
-4.357143,-5.15,0.228214,walking
-4.353333,-5.166667,0.216889,walking
-4.3625,-5.1875,0.209844,walking
-4.382353,-5.211765,0.20692,walking
-4.411111,-5.238889,0.207932,walking
-4.447368,-5.273684,0.218781,walking
-4.495,-5.31,0.2329,walking
-4.542857,-5.352381,0.257732,walking
-4.6,-5.4,0.293636,walking
-4.66087,-5.452174,0.340756,walking
-4.720833,-5.508333,0.399097,walking
-4.788,-5.572,0.480416,walking
-4.857692,-5.642308,0.585518,walking
-4.922222,-5.718519,0.714842,walking
-4.989286,-5.796429,0.853202,walking
-5.058621,-5.875862,1.000452,walking
-5.126667,-5.96,1.1724,walking
-5.193548,-6.045161,1.352154,walking
-5.2625,-6.13125,1.539648,walking
-5.330303,-6.221212,1.751974,walking
-5.394118,-6.314706,1.988901,walking
-5.457143,-6.408571,2.231641,walking
-5.519444,-6.505556,2.498858,walking
-5.575676,-6.6,2.752432,walking
-5.628947,-6.694737,3.012078,walking
-5.676923,-6.787179,3.259579,walking
-5.7225,-6.8775,3.496244,walking
-5.760976,-6.965854,3.723224,walking
-5.795238,-7.05,3.924881,walking
-5.823256,-7.130233,4.10397,walking
-5.845455,-7.206818,4.262908,walking
-5.864444,-7.277778,4.389728,walking
-5.878261,-7.343478,4.488544,walking
-5.885106,-7.404255,4.562961,walking
-5.8875,-7.458333,4.605347,walking
-5.885714,-7.504082,4.61182,walking
-5.878,-7.544,4.597664,walking
-5.866667,-7.576471,4.560231,walking
-5.851923,-7.601923,4.505573,walking
-5.835849,-7.622642,4.442884,walking
-5.816667,-7.638889,4.374599,walking
-5.451779,-8.279842,1.171965,walking
-5.439286,-8.396584,1.491572,walking
-5.374487,-8.459042,1.385996,walking
-5.502066,-8.514132,1.760718,walking
-5.735912,-8.198697,1.953516,walking
-6.020881,-8.048858,2.038551,walking
-6.154652,-7.745561,1.581988,walking
-6.186096,-7.91943,1.409551,walking
-6.410152,-7.964975,0.049585,walking
-6.263025,-8.023529,0.054404,walking
-6.762185,-8.168908,0.282143,walking
-6.368908,-8.122689,0.295872,walking
-6.621849,-7.698319,0.927896,walking
-6.05042,-6.736134,1.153904,walking
-6.287395,-6.035294,0.491191,walking
-6.121008,-6.487395,1.377572,walking
-6.528571,-7.452941,1.877785,walking
-6.574167,-7.594167,1.456216,walking
-6.596639,-7.8,1.764034,walking
-6.405042,-7.431092,1.192395,walking
-6.472269,-7.833613,0.471307,walking
-6.490756,-7.67479,0.167432,walking
-6.268067,-7.989076,0.160469,walking
-6.199153,-8.94661,1.318421,walking
-6.210084,-8.738655,2.445397,walking
-6.838655,-8.626891,3.070033,walking
-6.595833,-7.476667,1.743289,walking
-6.621008,-6.783193,1.818373,walking
-5.815126,-6.021849,0.552128,walking
-6.036134,-6.312605,1.129001,walking
-6.455462,-7.179832,1.450181,walking
-7.081513,-7.590756,1.262688,walking
-7.1,-8.4,0,walking
-7.1,-8.35,0.0025,walking
-7.066667,-8.3,0.006667,walking
-7.025,-8.225,0.021875,walking
-6.98,-8.14,0.0464,walking
-6.933333,-8.066667,0.065556,walking
-6.9,-7.971429,0.110612,walking
-6.875,-7.8875,0.146094,walking
-6.877778,-7.822222,0.163951,walking
-6.89,-7.76,0.1824,walking
-6.881818,-7.7,0.201818,walking
-6.866667,-7.641667,0.222431,walking
-6.853846,-7.584615,0.244379,walking
-6.85,-7.535714,0.25801,walking
-6.853333,-7.5,0.258667,walking
-6.8625,-7.46875,0.257148,walking
-6.870588,-7.447059,0.24955,walking
-6.872222,-7.427778,0.242006,walking
-6.873684,-7.415789,0.231856,walking
-6.87,-7.405,0.222475,walking
-6.866667,-7.395238,0.213787,walking
-6.859091,-7.390909,0.204463,walking
-6.86087,-7.395652,0.196068,walking
-6.866667,-7.404167,0.189566,walking
-6.868,-7.412,0.183456,walking
-6.865385,-7.419231,0.177707,walking
-6.859259,-7.425926,0.172291,walking
-6.85,-7.432143,0.167181,walking
-6.841379,-7.441379,0.163805,walking
-6.833333,-7.456667,0.165122,walking
-6.829032,-7.474194,0.169011,walking
-6.821875,-7.49375,0.175586,walking
-6.815152,-7.512121,0.181065,walking
-6.808824,-7.532353,0.189247,walking
-6.805714,-7.554286,0.200196,walking
-6.802778,-7.575,0.209653,walking
-6.797297,-7.591892,0.214259,walking
-6.792105,-7.607895,0.218096,walking
-6.787179,-7.623077,0.221262,walking
-6.785,-7.6375,0.223844,walking
-6.782927,-7.65122,0.225913,walking
-6.780952,-7.664286,0.227534,walking
-6.77907,-7.676744,0.228761,walking
-6.779545,-7.688636,0.229644,walking
-6.782222,-7.697778,0.228217,walking
-6.784783,-7.708696,0.22862,walking
-6.785106,-7.719149,0.228782,walking
-6.783333,-7.727083,0.226975,walking
-6.779592,-7.732653,0.223832,walking
-6.774,-7.738,0.220756,walking
-6.768627,-7.743137,0.217747,walking
-6.763462,-7.748077,0.214804,walking
-6.758491,-7.75283,0.211926,walking
-6.755556,-7.757407,0.209112,walking
-6.764286,-7.667857,0.171467,walking
-6.643532,-7.44801,0.702695,walking
-6.715394,-7.375862,0.966683,walking
-6.720614,-7.274825,1.831796,walking
-6.590739,-7.2974,2.297183,walking
-6.55599,-7.485004,2.808919,walking
-6.437672,-7.47931,2.960779,walking
-6.529456,-7.526043,3.088753,walking
-6.413768,-7.285024,3.262433,walking
-6.316949,-8.862712,1.741321,walking
-6.550847,-8.576271,2.552149,walking
-6.532773,-9.001681,3.650417,walking
-6.097479,-7.755462,2.900117,walking
-5.795,-7.386667,3.530489,walking
-5.165546,-6.538655,0.397329,walking
-5.79916,-6.70084,0.558571,walking
-5.982353,-7.037815,0.45462,walking
-7.129412,-7.39916,1.040924,walking
-6.784874,-7.829412,1.263757,walking
-6.914286,-8.040336,0.92123,walking
