% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:44

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104699001,3.7,-0.8,-9.1
1527104699004,3.7,-0.8,-9.1
1527104699006,3.7,-0.8,-9.1
1527104699008,3.8,-0.8,-9.1
1527104699011,3.7,-0.8,-9.1
1527104699013,3.7,-0.8,-9.1
1527104699016,3.7,-0.8,-9.1
1527104699019,3.7,-0.8,-9.1
1527104699021,3.7,-0.8,-9.1
1527104699023,3.7,-0.8,-9.1
1527104699026,3.7,-0.8,-9.1
1527104699028,3.7,-0.8,-9.1
1527104699031,3.8,-0.8,-9.1
1527104699034,3.7,-0.8,-9.1
1527104699036,3.7,-0.8,-9.1
1527104699039,3.7,-0.8,-9.0
1527104699042,3.7,-0.9,-9.1
1527104699044,3.7,-0.8,-9.1
1527104699047,3.7,-0.9,-9.1
1527104699049,3.7,-0.9,-9.1
1527104699051,3.7,-0.8,-9.1
1527104699054,3.8,-0.9,-9.1
1527104699056,3.8,-0.9,-9.1
1527104699059,3.8,-0.9,-9.1
1527104699062,3.7,-0.8,-9.1
1527104699064,3.7,-0.8,-9.1
1527104699066,3.8,-0.9,-9.1
1527104699070,3.8,-0.8,-9.1
1527104699071,3.7,-0.9,-9.1
1527104699074,3.7,-0.9,-9.1
1527104699076,3.8,-0.9,-9.1
1527104699079,3.8,-0.9,-9.1
1527104699082,3.7,-0.9,-9.1
1527104699085,3.7,-0.9,-9.1
1527104699087,3.8,-0.9,-9.1
1527104699089,3.7,-0.9,-9.1
1527104699092,3.7,-0.9,-9.1
1527104699094,3.8,-0.9,-9.1
1527104699097,3.8,-0.9,-9.1
1527104699099,3.8,-0.9,-9.1
1527104699102,3.8,-0.9,-9.1
1527104699105,3.8,-0.9,-9.1
1527104699107,3.8,-0.9,-9.1
1527104699110,3.8,-0.9,-9.1
1527104699113,3.8,-0.9,-9.1
1527104699115,3.7,-0.9,-9.1
1527104699117,3.7,-0.9,-9.2
1527104699120,3.8,-0.9,-9.1
1527104699122,3.8,-0.9,-9.1
1527104699125,3.8,-0.9,-9.1
1527104699127,3.8,-0.9,-9.1
1527104699130,3.8,-0.9,-9.1
1527104699132,3.8,-0.9,-9.1
1527104699135,3.7,-0.9,-9.1
1527104699138,3.8,-0.9,-9.1
1527104699139,3.7,-0.9,-9.1
1527104699143,3.8,-0.9,-9.1
1527104699145,3.8,-0.9,-9.2
1527104699147,3.8,-0.9,-9.1
1527104699150,3.7,-0.9,-9.1
1527104699153,3.7,-0.9,-9.1
1527104699155,3.7,-0.9,-9.1
1527104699158,3.7,-0.9,-9.1
1527104699161,3.7,-0.9,-9.1
1527104699164,3.7,-0.9,-9.1
1527104699165,3.7,-0.9,-9.1
1527104699168,3.7,-0.9,-9.2
1527104699170,3.7,-0.9,-9.1
1527104699173,3.7,-0.9,-9.1
1527104699175,3.7,-0.9,-9.1
1527104699178,3.8,-0.9,-9.1
1527104699185,3.7,-0.9,-9.1
1527104699188,3.8,-0.9,-9.1
1527104699190,3.8,-0.9,-9.1
1527104699191,3.7,-0.9,-9.1
1527104699192,3.8,-0.9,-9.1
1527104699193,3.7,-0.9,-9.2
1527104699196,3.7,-0.9,-9.1
1527104699198,3.7,-0.9,-9.2
1527104699201,3.7,-0.9,-9.1
1527104699203,3.8,-0.9,-9.1
1527104699205,3.7,-0.9,-9.1
1527104699208,3.7,-0.9,-9.1
1527104699211,3.7,-0.9,-9.1
1527104699213,3.7,-0.9,-9.1
1527104699216,3.7,-0.9,-9.2
1527104699218,3.8,-0.8,-9.1
1527104699220,3.7,-0.9,-9.2
1527104699224,3.7,-0.9,-9.2
1527104699227,3.7,-0.9,-9.2
1527104699228,3.7,-0.9,-9.2
1527104699231,3.8,-0.9,-9.1
1527104699234,3.7,-0.8,-9.1
1527104699236,3.7,-0.8,-9.2
1527104699239,3.7,-0.9,-9.2
1527104699242,3.8,-0.9,-9.2
1527104699244,3.7,-0.9,-9.1
1527104699247,3.7,-0.9,-9.2
1527104699249,3.7,-0.9,-9.1
1527104699252,3.7,-0.9,-9.1
1527104699254,3.7,-0.8,-9.1
1527104699256,3.7,-0.8,-9.1
1527104699259,3.7,-0.9,-9.1
1527104699261,3.7,-0.9,-9.1
1527104699265,3.7,-0.8,-9.1
1527104699267,3.7,-0.9,-9.1
1527104699269,3.7,-0.9,-9.1
1527104699271,3.7,-0.9,-9.1
1527104699274,3.7,-0.9,-9.1
1527104699277,3.7,-0.9,-9.1
1527104699280,3.7,-0.9,-9.1
1527104699281,3.7,-0.9,-9.1
1527104699284,3.7,-0.8,-9.1
1527104699287,3.7,-0.8,-9.1
1527104699289,3.7,-0.9,-9.1
1527104699292,3.7,-0.9,-9.1
1527104699294,3.7,-0.9,-9.1
1527104699297,3.7,-0.9,-9.2
1527104699299,3.7,-0.9,-9.1
1527104699302,3.7,-0.9,-9.1
1527104699304,3.7,-0.9,-9.1
1527104699307,3.7,-0.9,-9.1
1527104699310,3.7,-0.9,-9.1
1527104699312,3.7,-0.9,-9.2
1527104699314,3.7,-0.9,-9.2
1527104699317,3.7,-0.9,-9.1
1527104699319,3.7,-0.9,-9.1
1527104699325,3.7,-0.9,-9.2
1527104699327,3.6,-0.8,-9.1
1527104699328,3.7,-0.9,-9.1
1527104699332,3.6,-0.9,-9.2
1527104699339,3.6,-0.9,-9.1
1527104699341,3.6,-0.9,-9.1
1527104699342,3.7,-0.9,-9.2
1527104699343,3.7,-0.9,-9.1
1527104699344,3.7,-0.9,-9.1
