% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:43

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104618002,-1.7,-9.5,-2.3
1527104618004,-1.6,-9.6,-2.3
1527104618007,-1.7,-9.6,-2.4
1527104618010,-1.7,-9.5,-2.3
1527104618012,-1.6,-9.6,-2.3
1527104618015,-1.6,-9.6,-2.3
1527104618018,-1.7,-9.6,-2.4
1527104618020,-1.6,-9.6,-2.3
1527104618023,-1.6,-9.7,-2.3
1527104618025,-1.6,-9.7,-2.3
1527104618027,-1.5,-9.7,-2.3
1527104618030,-1.6,-9.7,-2.2
1527104618032,-1.5,-9.7,-2.1
1527104618035,-1.6,-9.7,-2.1
1527104618038,-1.6,-9.7,-2.2
1527104618040,-1.5,-9.8,-2.2
1527104618043,-1.6,-9.8,-2.3
1527104618045,-1.6,-9.8,-2.3
1527104618047,-1.6,-9.7,-2.2
1527104618051,-1.6,-9.7,-2.3
1527104618052,-1.6,-9.7,-2.2
1527104618055,-1.6,-9.7,-2.2
1527104618058,-1.6,-9.7,-2.2
1527104618061,-1.6,-9.7,-2.1
1527104618063,-1.6,-9.7,-2.1
1527104618065,-1.6,-9.7,-2.2
1527104618068,-1.6,-9.6,-2.2
1527104618070,-1.6,-9.6,-2.2
1527104618073,-1.5,-9.7,-2.1
1527104618075,-1.6,-9.7,-2.1
1527104618078,-1.5,-9.6,-2.1
1527104618080,-1.5,-9.6,-2.1
1527104618083,-1.5,-9.6,-2.1
1527104618086,-1.5,-9.6,-2.1
1527104618088,-1.5,-9.6,-2.0
1527104618091,-1.5,-9.6,-2.0
1527104618093,-1.5,-9.6,-2.0
1527104618096,-1.5,-9.6,-2.0
1527104618098,-1.5,-9.6,-2.0
1527104618101,-1.5,-9.6,-2.0
1527104618103,-1.6,-9.6,-2.0
1527104618106,-1.5,-9.6,-2.0
1527104618109,-1.6,-9.7,-2.1
1527104618112,-1.6,-9.6,-2.1
1527104618114,-1.5,-9.6,-2.1
1527104618116,-1.6,-9.7,-2.1
1527104618118,-1.6,-9.7,-2.1
1527104618122,-1.6,-9.6,-2.1
1527104618123,-1.6,-9.7,-2.2
1527104618126,-1.6,-9.6,-2.2
1527104618128,-1.6,-9.7,-2.1
1527104618131,-1.6,-9.7,-2.2
1527104618133,-1.6,-9.7,-2.2
1527104618136,-1.5,-9.7,-2.2
1527104618138,-1.6,-9.7,-2.2
1527104618142,-1.5,-9.7,-2.2
1527104618143,-1.5,-9.7,-2.2
1527104618146,-1.5,-9.7,-2.2
1527104618149,-1.5,-9.7,-2.2
1527104618151,-1.5,-9.7,-2.2
1527104618154,-1.5,-9.7,-2.2
1527104618156,-1.5,-9.7,-2.3
1527104618159,-1.5,-9.7,-2.3
1527104618162,-1.5,-9.7,-2.2
1527104618164,-1.5,-9.7,-2.2
1527104618167,-1.5,-9.7,-2.2
1527104618169,-1.5,-9.7,-2.2
1527104618172,-1.5,-9.7,-2.1
1527104618175,-1.5,-9.7,-2.1
1527104618177,-1.5,-9.7,-2.1
1527104618180,-1.5,-9.7,-2.1
1527104618182,-1.5,-9.7,-2.0
1527104618184,-1.5,-9.7,-2.0
1527104618187,-1.6,-9.7,-2.0
1527104618190,-1.6,-9.7,-2.0
1527104618192,-1.6,-9.7,-2.0
1527104618195,-1.6,-9.7,-2.0
1527104618197,-1.6,-9.7,-2.0
1527104618200,-1.6,-9.6,-2.0
1527104618202,-1.5,-9.7,-2.0
1527104618204,-1.6,-9.7,-2.1
1527104618207,-1.6,-9.7,-2.1
1527104618210,-1.6,-9.7,-2.0
1527104618212,-1.6,-9.7,-2.0
1527104618215,-1.6,-9.7,-2.1
1527104618217,-1.6,-9.6,-2.0
1527104618220,-1.6,-9.7,-2.0
1527104618223,-1.6,-9.6,-2.0
1527104618225,-1.6,-9.7,-2.0
1527104618227,-1.6,-9.6,-2.0
1527104618230,-1.6,-9.6,-2.0
1527104618232,-1.6,-9.6,-2.1
1527104618235,-1.6,-9.7,-2.0
1527104618238,-1.6,-9.7,-1.9
1527104618240,-1.6,-9.7,-2.0
1527104618243,-1.6,-9.7,-2.0
1527104618245,-1.6,-9.6,-2.0
1527104618248,-1.6,-9.7,-2.0
1527104618250,-1.6,-9.7,-2.0
1527104618253,-1.7,-9.7,-1.9
1527104618255,-1.6,-9.7,-2.0
1527104618258,-1.6,-9.7,-2.0
1527104618261,-1.6,-9.7,-1.9
1527104618264,-1.6,-9.7,-2.0
1527104618267,-1.6,-9.7,-2.0
1527104618269,-1.6,-9.6,-2.0
1527104618270,-1.6,-9.7,-2.0
1527104618273,-1.7,-9.7,-2.0
1527104618276,-1.7,-9.7,-2.0
1527104618278,-1.6,-9.7,-2.0
1527104618281,-1.7,-9.7,-2.0
1527104618283,-1.7,-9.7,-2.0
1527104618285,-1.6,-9.7,-2.0
1527104618289,-1.6,-9.7,-2.0
1527104618291,-1.6,-9.7,-2.1
1527104618293,-1.6,-9.7,-2.1
1527104618296,-1.6,-9.7,-2.0
1527104618298,-1.6,-9.7,-2.0
1527104618301,-1.6,-9.7,-2.0
1527104618304,-1.6,-9.7,-2.0
1527104618306,-1.6,-9.7,-2.0
1527104618308,-1.6,-9.7,-2.0
1527104618312,-1.6,-9.7,-2.0
1527104618314,-1.6,-9.7,-2.0
1527104618316,-1.6,-9.7,-2.0
1527104618319,-1.6,-9.7,-2.0
1527104618321,-1.7,-9.7,-1.9
1527104618324,-1.6,-9.7,-2.0
1527104618326,-1.7,-9.7,-2.0
1527104618329,-1.7,-9.7,-1.9
1527104618331,-1.7,-9.7,-1.9
1527104618334,-1.7,-9.7,-1.9
1527104618336,-1.7,-9.7,-1.9
1527104618339,-1.7,-9.7,-1.9
1527104618341,-1.7,-9.7,-1.9
1527104618344,-1.8,-9.7,-1.9
1527104618346,-1.8,-9.7,-1.9
1527104618349,-1.7,-9.7,-1.9
1527104618352,-1.7,-9.7,-1.9
1527104618354,-1.8,-9.6,-1.9
1527104618357,-1.8,-9.6,-1.9
1527104618359,-1.8,-9.7,-1.9
1527104618362,-1.8,-9.7,-1.9
1527104618364,-1.8,-9.7,-1.9
1527104618367,-1.8,-9.6,-1.9
1527104618370,-1.8,-9.7,-1.9
1527104618372,-1.8,-9.6,-2.0
1527104618374,-1.8,-9.7,-2.0
1527104618377,-1.8,-9.7,-2.0
1527104618380,-1.7,-9.7,-2.0
1527104618382,-1.7,-9.6,-2.0
1527104618385,-1.7,-9.7,-2.0
1527104618387,-1.8,-9.7,-2.0
1527104618390,-1.8,-9.6,-2.0
1527104618392,-1.7,-9.7,-2.0
1527104618395,-1.8,-9.7,-2.0
1527104618397,-1.8,-9.7,-2.0
1527104618399,-1.8,-9.7,-1.9
1527104618403,-1.8,-9.6,-2.0
1527104618404,-1.8,-9.6,-2.0
1527104618408,-1.8,-9.7,-1.9
1527104618410,-1.8,-9.7,-1.9
1527104618412,-1.8,-9.6,-1.9
1527104618415,-1.8,-9.7,-1.9
