% Group: LeisterMeierMulterer
% Date: 2018-05-23 21:42

@RELATION sysdev

@ATTRIBUTE timestamp     NUMERIC
@ATTRIBUTE accelerationx NUMERIC
@ATTRIBUTE accelerationy NUMERIC
@ATTRIBUTE accelerationz NUMERIC

@Data
1527104528001,-2.0,-9.9,0.3
1527104528003,-2.0,-9.9,0.4
1527104528005,-2.1,-9.8,0.3
1527104528009,-2.1,-9.8,0.3
1527104528011,-2.1,-9.9,0.3
1527104528013,-2.1,-9.8,0.3
1527104528016,-2.1,-9.8,0.3
1527104528018,-2.1,-9.8,0.1
1527104528022,-2.1,-9.8,0.2
1527104528023,-2.1,-9.8,0.2
1527104528027,-2.1,-9.9,0.2
1527104528028,-2.1,-9.8,0.2
1527104528031,-2.1,-9.8,0.2
1527104528033,-2.1,-9.8,0.2
1527104528036,-2.1,-9.8,0.1
1527104528040,-2.1,-9.8,0.1
1527104528041,-2.1,-9.8,0.1
1527104528043,-2.1,-9.8,0.1
1527104528046,-2.1,-9.8,0.1
1527104528048,-2.1,-9.8,0.1
1527104528052,-2.1,-9.8,0.1
1527104528053,-2.1,-9.8,0.1
1527104528056,-2.1,-9.8,0.1
1527104528060,-2.1,-9.8,0.1
1527104528062,-2.1,-9.8,0.1
1527104528065,-2.0,-9.8,0.1
1527104528068,-2.0,-9.8,0.1
1527104528069,-2.0,-9.8,0.1
1527104528072,-2.0,-9.8,0.1
1527104528074,-2.0,-9.8,0.2
1527104528077,-2.0,-9.8,0.2
1527104528080,-2.0,-9.9,0.2
1527104528082,-2.0,-9.8,0.1
1527104528084,-2.0,-9.8,0.2
1527104528088,-2.0,-9.8,0.2
1527104528090,-2.0,-9.8,0.2
1527104528092,-2.0,-9.8,0.2
1527104528095,-2.0,-9.8,0.2
1527104528097,-2.0,-9.8,0.2
1527104528099,-2.0,-9.8,0.2
1527104528103,-2.0,-9.8,0.2
1527104528106,-2.0,-9.8,0.2
1527104528107,-2.0,-9.8,0.2
1527104528109,-2.1,-9.8,0.2
1527104528112,-2.1,-9.8,0.2
1527104528114,-2.1,-9.8,0.2
1527104528117,-2.1,-9.8,0.2
1527104528119,-2.1,-9.7,0.2
1527104528122,-2.1,-9.7,0.2
1527104528125,-2.1,-9.7,0.1
1527104528127,-2.1,-9.7,0.1
1527104528130,-2.1,-9.7,0.2
1527104528132,-2.1,-9.7,0.1
1527104528135,-2.1,-9.7,0.0
1527104528138,-2.1,-9.7,0.1
1527104528140,-2.1,-9.7,-0.0
1527104528143,-2.1,-9.7,0.0
1527104528145,-2.1,-9.7,-0.1
1527104528147,-2.1,-9.7,-0.1
1527104528150,-2.0,-9.7,-0.1
1527104528152,-2.1,-9.7,-0.2
1527104528155,-2.1,-9.7,-0.2
1527104528157,-2.1,-9.7,-0.2
1527104528160,-2.1,-9.7,-0.2
1527104528162,-2.0,-9.7,-0.1
1527104528165,-2.0,-9.7,-0.1
1527104528168,-1.9,-9.8,-0.1
1527104528170,-2.0,-9.8,-0.1
1527104528173,-1.9,-9.8,-0.1
1527104528175,-1.9,-9.8,-0.2
1527104528178,-2.0,-9.8,-0.2
1527104528180,-1.9,-9.8,-0.2
1527104528183,-1.9,-9.8,-0.2
1527104528185,-1.9,-9.9,-0.3
1527104528188,-1.9,-9.8,-0.3
1527104528191,-1.8,-9.8,-0.3
1527104528194,-1.8,-9.8,-0.3
1527104528196,-1.8,-9.8,-0.3
1527104528198,-1.9,-9.8,-0.3
1527104528200,-1.8,-9.8,-0.4
1527104528203,-1.8,-9.8,-0.3
1527104528205,-1.8,-9.8,-0.3
1527104528208,-1.8,-9.8,-0.3
1527104528212,-1.8,-9.7,-0.3
1527104528214,-1.9,-9.7,-0.2
1527104528216,-1.8,-9.8,-0.3
1527104528218,-1.8,-9.8,-0.3
1527104528221,-1.8,-9.8,-0.2
1527104528224,-1.8,-9.7,-0.2
1527104528225,-1.8,-9.8,-0.2
1527104528229,-1.8,-9.7,-0.3
1527104528231,-1.8,-9.7,-0.3
1527104528233,-1.8,-9.7,-0.2
1527104528236,-1.9,-9.7,-0.4
1527104528238,-2.0,-9.7,-0.4
1527104528241,-1.8,-9.8,-0.3
1527104528243,-1.8,-9.8,-0.3
1527104528246,-1.8,-9.8,-0.3
1527104528248,-1.8,-9.8,-0.3
1527104528251,-1.7,-9.8,-0.3
1527104528253,-1.7,-9.8,-0.3
1527104528256,-1.8,-9.8,-0.3
1527104528259,-1.7,-9.8,-0.4
1527104528262,-1.7,-9.8,-0.4
1527104528264,-1.7,-9.8,-0.4
1527104528267,-1.7,-9.8,-0.4
1527104528269,-1.7,-9.8,-0.4
1527104528272,-1.7,-9.8,-0.4
1527104528274,-1.7,-9.8,-0.5
1527104528276,-1.7,-9.8,-0.5
1527104528279,-1.8,-9.8,-0.5
1527104528281,-1.9,-9.8,-0.6
1527104528284,-1.7,-9.9,-0.6
1527104528287,-1.6,-9.9,-0.4
1527104528289,-1.5,-9.9,-0.5
1527104528291,-1.5,-9.9,-0.5
1527104528294,-1.5,-9.9,-0.5
1527104528297,-1.4,-9.9,-0.5
1527104528299,-1.4,-9.9,-0.5
1527104528302,-1.5,-9.8,-0.5
1527104528304,-1.5,-9.8,-0.5
1527104528307,-1.5,-9.8,-0.5
1527104528309,-1.5,-9.9,-0.5
1527104528311,-1.5,-9.9,-0.6
1527104528314,-1.5,-9.9,-0.6
1527104528317,-1.5,-9.9,-0.6
1527104528319,-1.4,-9.8,-0.6
1527104528322,-1.4,-9.8,-0.6
1527104528324,-1.4,-9.9,-0.6
1527104528327,-1.5,-9.9,-0.6
1527104528330,-1.8,-9.8,-0.8
1527104528332,-1.9,-9.8,-0.7
1527104528335,-1.7,-10.0,-0.7
1527104528337,-1.6,-10.0,-0.5
1527104528340,-1.5,-10.0,-0.5
1527104528342,-1.4,-9.9,-0.6
1527104528345,-1.4,-9.9,-0.6
1527104528347,-1.4,-9.9,-0.7
1527104528350,-1.5,-9.9,-0.7
1527104528353,-1.5,-9.9,-0.7
1527104528355,-1.5,-9.9,-0.7
1527104528357,-1.5,-9.9,-0.7
1527104528360,-1.5,-9.9,-0.7
1527104528362,-1.5,-9.8,-0.8
1527104528365,-1.5,-9.8,-0.7
1527104528368,-1.5,-9.8,-0.7
1527104528370,-1.5,-9.8,-0.7
1527104528373,-1.5,-9.8,-0.7
1527104528375,-1.5,-9.8,-0.7
1527104528378,-1.5,-9.8,-0.7
1527104528380,-1.5,-9.8,-0.7
1527104528383,-1.5,-9.8,-0.8
1527104528385,-1.7,-9.8,-0.9
1527104528388,-1.8,-9.8,-0.9
1527104528390,-1.7,-10.1,-0.8
1527104528393,-1.6,-10.2,-0.7
1527104528395,-1.4,-10.0,-0.7
1527104528398,-1.3,-9.8,-0.8
